	1250.2441 	-417.9650 	342.5940 	1119.2981
	310.6160 	247.9078 	-125.0926 	-34.0437
	307.5427 	228.8297 	109.9687 	-103.1959
	370.0058 	-58.7725 	-327.4701 	-82.0585
	988.6233 	59.6396 	-854.4651 	474.8596
	711.3030 	-63.3467 	650.7906 	245.3443
	308.9788 	144.3187 	93.4581 	215.4730
	229.5036 	-140.6117 	110.2163 	-35.6768
	1118.5287 	766.6752 	224.0419 	771.3001
	403.9147 	-373.8449 	24.4188 	67.6310
	177.6544 	66.7602 	-46.3887 	-73.9951
	538.3109 	-459.5904 	-202.0721 	135.0640
	882.8826 	789.9762 	-314.1581 	196.2321
	292.8452 	20.2337 	223.3780 	131.2796
	530.3311 	-382.6183 	-64.1293 	333.5637
	532.3498 	-427.5917 	154.9094 	238.9245
	1263.7843 	-488.5337 	-129.7790 	1150.4025
	225.7988 	17.6620 	-145.2036 	106.6404
	278.0329 	118.4818 	188.1249 	-91.6318
	470.7927 	352.3900 	86.8577 	-265.4111
	974.8511 	-372.5934 	-790.8596 	409.6741
	553.1863 	281.2216 	154.0123 	430.1080
	431.1562 	53.7538 	398.1857 	70.5503
	279.2151 	37.6180 	238.6617 	-10.3323
	935.5978 	705.0991 	-494.9332 	339.1206
	644.4650 	-557.5130 	226.3286 	187.2775
	454.9771 	-26.4426 	311.0628 	300.1130
	203.3688 	-121.1435 	-42.4582 	73.4889
	998.0073 	-264.5599 	-821.4392 	482.7498
	615.0089 	250.3422 	474.8280 	268.1159
	222.9586 	144.9821 	-3.4499 	95.9260
	402.4339 	-130.7645 	350.0612 	53.2082
	1248.6040 	359.2252 	458.5358 	1096.1283
	215.3401 	-71.5288 	147.8806 	-34.1968
	254.3408 	-37.5409 	-208.9118 	12.5999
	520.1237 	-250.1555 	-397.5046 	-174.5314
	1168.3726 	-710.0318 	-227.8135 	889.2883
	210.4160 	36.8169 	102.2536 	-119.3596
	450.2496 	307.3605 	227.0904 	192.8918
	409.3704 	365.8544 	-101.5305 	-62.8204
	1083.1189 	-794.0390 	-188.9826 	699.0832
	539.5677 	353.5416 	281.5746 	261.9933
	356.2241 	318.8408 	75.4195 	8.4303
	259.4980 	121.6567 	-168.0115 	-69.5068
	989.2404 	145.9826 	-859.3727 	447.8250
	574.8790 	-195.7704 	503.9066 	141.4960
	453.5500 	189.7438 	319.6934 	219.1438
	220.7393 	-139.9561 	35.7728 	91.5351
	1273.2463 	447.8759 	283.4616 	1149.7810
	336.2815 	-306.3036 	0.6327 	-32.3425
	173.3987 	80.3990 	-31.3143 	56.0851
	455.4821 	-221.9712 	-252.7801 	-273.5236
	1001.2252 	-863.5826 	-48.6293 	485.8966
	541.3718 	455.8800 	-242.5896 	90.5004
	510.4445 	293.2115 	268.3805 	288.2281
	185.3671 	114.4911 	22.8384 	35.3749
	1028.1561 	-216.0999 	835.2053 	542.7900
	309.1438 	259.0086 	-100.6726 	11.5128
	345.1625 	109.9429 	-265.2425 	131.2218
	555.9463 	-152.8516 	-469.2901 	214.4753
	1156.9331 	458.8512 	-569.1450 	886.4575
	372.2312 	-121.7514 	278.1111 	-167.8392
	296.4683 	29.5786 	164.3334 	201.3358
	412.7760 	-366.6784 	126.7006 	-19.9540
	1037.6158 	644.8026 	-568.2560 	565.4595
	302.5606 	-262.4799 	-42.9944 	-50.8112
	205.4180 	-22.5839 	135.9861 	60.9697
	692.8142 	-359.7387 	475.2643 	324.3820
	945.9352 	246.7393 	-836.9229 	339.4941
	490.1844 	-300.0723 	340.3781 	127.1350
	576.3444 	176.1836 	401.0659 	347.5648
	225.9447 	-122.8507 	95.4788 	85.8061
	1082.2294 	797.6267 	226.3902 	682.3068
	664.9526 	-537.3884 	-364.2109 	50.0920
	251.5760 	-203.1097 	-6.7250 	50.1467
	239.6507 	-57.1285 	144.5457 	117.4546
	1287.4839 	-400.3232 	-270.2534 	1185.7917
	401.0533 	142.3469 	193.7587 	-291.2417
	359.9283 	319.7451 	12.3390 	-87.6485
	189.9432 	-61.7688 	64.1556 	93.0985
	1257.3638 	-548.6417 	56.9562 	1121.8267
	455.7891 	334.9164 	-275.4802 	38.3202
	230.8869 	51.7682 	163.9774 	-65.2937
	294.3688 	161.9571 	54.5466 	-194.8532
	999.9376 	367.0847 	782.1250 	484.9615
	284.3279 	131.2530 	-212.9545 	-6.9620
	442.1395 	-130.9965 	-361.5007 	167.8318
	512.0037 	-367.3412 	-207.6697 	254.1686
	996.4736 	550.3982 	667.5497 	475.5862
	564.9039 	-189.1469 	-401.2061 	322.7330
	200.1460 	62.6810 	-128.9469 	5.0201
	476.8852 	-423.9323 	-137.3966 	96.6607
	1252.2933 	504.6628 	313.8589 	1093.9972
	198.0353 	21.9944 	3.4122 	-143.1981
	449.5221 	-226.5063 	-342.8966 	-117.0897
	338.5579 	-300.1509 	25.6255 	66.2906
	1278.2290 	-2.1543 	-480.5757 	1176.7307
	206.3339 	-36.5015 	87.8738 	123.7038
	278.5508 	196.9250 	74.4353 	-117.4458
	475.2948 	-158.2692 	318.2666 	-282.9887
	964.3026 	-730.2304 	485.7665 	377.4349
	602.8524 	508.0101 	-39.3636 	292.5583
	473.2062 	233.6612 	-306.5073 	236.4378
	198.0475 	-11.4408 	-139.8956 	-6.4310
	934.3953 	803.4888 	308.4931 	337.8096
	698.2089 	-439.0714 	-91.9012 	517.7348
	358.6985 	-174.7286 	-259.8547 	105.5132
	247.1060 	-189.6889 	43.2628 	-61.0577
	1088.2891 	469.9337 	655.9987 	717.6240
	161.7572 	83.6796 	-26.4567 	-15.6924
	413.9454 	-132.1826 	-363.0888 	-50.6765
	574.4171 	-421.4307 	-266.4532 	248.7449
	1245.0801 	522.9568 	-204.7236 	1103.0015
	362.4431 	-316.5195 	-72.7006 	87.6252
	164.9977 	-31.2444 	-58.3753 	-57.9945
	465.8877 	-175.1930 	335.7995 	-232.6321
	1034.5491 	709.6929 	-472.0461 	570.5993
	250.6625 	-205.4453 	-42.6300 	24.2840
	354.7655 	-13.2944 	320.2064 	60.6026
	598.4315 	-490.9531 	194.4697 	244.5141
	971.2328 	-614.0474 	-621.2201 	402.6261
	144.2685 	37.1949 	-8.8996 	-33.6724
	700.9103 	224.2203 	529.4856 	375.7239
	421.9971 	352.6322 	100.6341 	155.3224
	1044.9231 	-698.0397 	491.8790 	586.8926
	259.1462 	36.0708 	-217.5597 	-17.5081
	313.9757 	239.3437 	97.7309 	110.7564
	620.3638 	422.6252 	-372.0502 	219.8590
	1152.4016 	455.2726 	623.7163 	844.6997
	558.7626 	-355.6808 	-408.8745 	17.6491
	321.9010 	28.9269 	-274.7389 	88.4591
	205.3435 	-128.5186 	59.8972 	-50.8079
	927.4700 	826.3229 	248.3216 	312.2668
	866.2312 	-658.7511 	-182.2567 	514.7515
	187.3356 	47.8721 	-71.2993 	90.7871
	257.3719 	-215.4439 	5.2344 	-17.8054
	1122.9861 	311.9127 	728.8601 	783.8076
	300.1993 	-242.5681 	-68.4637 	91.5215
	297.5248 	-2.8717 	-204.2774 	-165.2468
	517.6985 	-66.4729 	-456.1190 	189.9177
	987.7685 	216.4567 	842.9091 	447.3483
	379.2878 	-34.5379 	-352.4313 	-15.5438
	168.0067 	54.6063 	-71.5281 	-25.5174
	703.3458 	-236.5250 	-418.9497 	493.7130
	1259.1558 	-425.3894 	-315.9498 	1134.2292
	206.0977 	-54.5488 	145.4669 	11.0988
	583.1516 	517.4259 	48.8730 	-224.6567
	190.0036 	-37.4877 	121.6099 	-20.6713
	1082.0907 	600.7038 	-575.8467 	678.4239
	446.4989 	-369.5182 	207.9632 	36.7687
	248.0695 	102.7226 	175.3335 	-27.7078
	461.7495 	-333.9081 	192.5500 	212.5152
	973.7192 	817.0222 	-301.0098 	414.4636
	406.2902 	-239.0175 	-103.8455 	280.9655
	589.6609 	-485.3820 	196.5549 	232.3649
	268.7383 	-92.6226 	208.3004 	-27.7939
	1278.3811 	-504.0631 	-61.0514 	1165.4331
	403.0629 	246.8997 	242.1614 	-156.9751
	306.4708 	223.5899 	18.7666 	-155.2505
