	1263.6755 	333.8773 	375.7111 	1151.5320
	207.7140 	-43.3568 	127.9207 	-81.7600
	475.2616 	-324.4879 	-317.9500 	3.4652
	291.7575 	33.9674 	-185.6818 	-173.2373
	941.1052 	-325.2878 	811.8234 	320.3012
	414.1000 	202.4956 	-53.6250 	330.7292
	328.7212 	-51.9856 	-267.6965 	119.2339
	554.4822 	174.7778 	-490.5019 	129.7357
	903.1747 	318.1219 	-797.8261 	244.4988
	322.5030 	182.0897 	220.2841 	64.1054
	466.0493 	-196.6135 	309.0571 	252.0947
	546.6817 	-303.5981 	268.4848 	339.3010
	1097.9594 	216.2327 	776.4671 	733.2395
	667.5664 	40.7107 	-580.9864 	297.0276
	200.9177 	-132.0560 	-57.7426 	10.8594
	271.9653 	-124.8874 	-137.7381 	-141.1265
	862.8007 	-841.3573 	-30.0915 	131.9862
	169.6898 	-69.4286 	68.2135 	33.2311
	454.5913 	335.4574 	-18.3882 	272.5921
	751.3270 	575.3286 	-19.7338 	462.1906
	937.3276 	734.1152 	-465.6479 	323.4392
	606.7347 	-195.1148 	490.9872 	266.0297
	474.7504 	-399.0640 	-13.0649 	215.6113
	219.5960 	-139.9364 	-12.2744 	94.9197
	1185.8274 	120.7621 	-679.9457 	954.4947
	396.9221 	57.6829 	233.9021 	285.1188
	265.6443 	-83.0611 	156.5527 	-140.2925
	390.0149 	-95.3838 	289.4908 	-199.3210
	862.5717 	-795.6815 	-263.9924 	151.6964
	360.0270 	168.8456 	79.3157 	276.7720
	582.7554 	512.1199 	-111.9732 	212.8896
	433.0547 	114.7160 	296.6499 	258.6419
	966.4892 	504.7686 	-719.0220 	379.6058
	311.5339 	-178.2182 	177.3379 	-125.0040
	453.8101 	-199.4939 	191.6973 	331.5432
	506.5755 	-127.0565 	349.9867 	313.8549
	1112.3611 	817.9254 	-13.5690 	741.5823
	692.3041 	-632.8168 	-21.8460 	245.2220
	267.3510 	-150.6794 	102.3973 	-137.1497
	166.3925 	-34.4292 	-66.9824 	50.3454
