PhaseSpaceVal   0.408212         0.
J1P-1C-1L0S1ChiGamVal   1.01382 0
J1P-1C-1L2S1ChiGamVal   3.00894 -1.23723
J0P1C1L0S0K892K892Val   0.984746        1.39357
J0P1C1L2S2K892K892Val   0.968549        -0.835474
J0P1C1L0S0K_2_1430K_2_1430Val   0.0494527       -0.411578
J0P1C1L2S2K_2_1430K_2_1430Val   0.062631        5.61361
J0P1C1L4S4K_2_1430K_2_1430Val   0.067241        -0.0925384
J1P1C0L0S1K_1_1270ToK892PiVal   0.463998        -2.56537
J1P1C0L2S1K_1_1270ToK892PiVal   0.41687 5.50688
J1P1C0L1S0K_1_1270ToK_0_1430PiVal       0.127382        -6.05762
J0P1C1L0S0f980_pif1710_kVal     0.486491        -1.6227
J0P1C1L0S0f980_kf1710_piVal     0.561597        -2.75679
J0P1C1L0S0f980f980Val   1.75183 4.5825
K892massVal     0.891858        0.0512155
K_2_1430massVal 1.45838 0.799902
K_1_1270massVal 1.38197 0.246768
K_0_1430massVal 1.38609 0.6
FlatMf980Val    0.89    0
Flatf980gPiPiVal        0.563817        0
Flatf980gKKVal  1.71928 0
f1710_kmassVal  1.70007 0.13127
f1710PiPiWidthVal       0.660162        0
J0P1C1L0S0f980f2200Val  0.530047        -2.43741
f2200massVal    2.12163 0.172833
PhaseSpaceErr	0.1	0.
J1P-1C-1L0S1ChiGamErr	0.160729	0
J1P-1C-1L2S1ChiGamErr	0.351262	0.607417
J0P1C1L0S0K892K892Err	0.574048	0.27022
J0P1C1L2S2K892K892Err	0.547591	0.287155
J0P1C1L0S0K_2_1430K_2_1430Err   0.3	0.3
J0P1C1L2S2K_2_1430K_2_1430Err   0.3	0.3
J0P1C1L4S4K_2_1430K_2_1430Err   0.3	0.3
J1P1C0L0S1K_1_1270ToK892PiErr	0.3	0.2	
J1P1C0L2S1K_1_1270ToK892PiErr	0.3	0.20918
J1P1C0L1S0K_1_1270ToK_0_1430PiErr	0.5	0.3
J0P1C1L0S0f980_pif1710_kErr	0.3	0.2
J0P1C1L0S0f980_kf1710_piErr	0.3	0.497858
J0P1C1L0S0f980f980Err	0.3	0.2
K892massErr	0.005	0.01
K_2_1430massErr	0.0112834	0.0177899
K_1_1270massErr	0.02	0.0471788
K_0_1430massErr	0.03	0.05
FlatMf980Err	0.03	0
Flatf980gPiPiErr	0.1	0
Flatf980gKKErr	0.1	0
f1710_kmassErr	0.02	0.03
f1710PiPiWidthErr	0.04	0
J0P1C1L0S0f980f2200Err	0.03	0.3
f2200massErr	0.03	0.05
