-1.10933	-0.59104	1.52135	1.97805
0.476991	0.181325	0.158322	0.551074
0.632318	0.40968	1.99592	2.20261
1.08707	0.232658	0.873751	1.42039
-0.302796	-0.609793	1.49648	1.64961
-0.784219	0.377112	1.30528	1.66165
0.477399	-0.283967	3.1387	3.19033
-0.323203	0.637247	0.475039	0.868576
-0.154217	-0.35333	0.061756	0.672731
-0.222175	0.830249	2.86652	2.99563
-0.0995162	-0.749121	0.78074	1.09492
0.32166	-0.0811329	0.0282292	0.641072
0.520455	0.112506	-0.219928	0.591707
0.00505386	0.389855	1.93442	1.97793
-0.525505	-0.50241	1.96097	2.16197
-0.178575	0.96811	0.407273	1.07388
0.564495	-0.348237	0.951369	1.16758
-0.3859	-0.619775	2.31683	2.49015
-0.213178	-1.17003	1.25801	1.73643
0.0780503	1.07431	2.03616	2.30746
0.135116	0.0957248	0.381288	0.687698
-0.873714	-0.539679	2.48049	2.68806
0.159596	0.709262	0.590358	0.946184
0.714011	-0.16952	0.604657	1.0974
0.0681227	1.00421	0.693224	1.22957
-0.504942	-0.724813	0.823034	1.21488
0.436747	-0.279369	2.15924	2.28719
0.651649	0.661156	0.309958	0.987961
-0.664612	-0.468247	0.94263	1.25209
0.0130291	-0.192912	2.42294	2.49161
0.923517	-0.297067	2.7366	2.9066
-0.888812	0.203386	0.282071	0.963917
-0.0347894	0.0936851	0.656845	0.861139
-0.886264	-0.844669	1.31849	1.80431
0.807836	0.262101	0.796767	1.17233
0.078409	0.582548	1.5602	1.75495
0.883552	0.415501	2.32004	2.52074
-0.123916	-0.505056	-0.0278536	0.537988
-0.759579	0.0895407	1.38333	1.67294
-0.767371	-0.588908	0.49233	1.09375
0.19305	0.834284	2.10696	2.27833
0.574346	-0.245379	1.07626	1.35961
0.653006	-1.0391	1.67932	2.08434
-0.597205	1.01566	1.30759	1.76528
-0.0557866	0.0234461	0.688579	0.882004
-0.389228	-0.947403	0.505752	1.15025
0.340395	1.0029	2.46057	2.68221
0.0488357	-0.0554602	0.709206	0.899201
1.23607	-0.140498	1.35524	1.84459
-0.293631	0.404121	1.17619	1.28498
-0.94242	-0.263602	1.1441	1.6021
-1.11229	-0.540227	1.35773	1.84138
0.309901	0.618966	0.653081	0.961193
0.802347	-0.0787969	1.66464	1.92902
0.909005	0.272091	2.71235	2.8767
0.0463868	-0.131985	0.682778	0.709913
-0.955412	-0.14007	0.280414	1.14507
0.985403	-0.609093	1.3388	1.77556
-0.62349	0.0417117	1.85831	1.9652
-0.361924	0.567333	0.478387	0.990878
0.18591	0.92648	2.11111	2.31688
0.568163	-0.608562	0.856151	1.20182
-0.753956	-0.317918	0.708261	1.21296
-0.797815	-0.452042	0.355368	0.992651
0.054131	0.720567	1.74347	1.8921
0.743605	-0.268457	1.57669	1.84691
-0.348479	-0.904756	2.6767	2.85008
0.163558	0.802669	0.141076	0.84211
0.185005	0.102045	0.85773	1.03946
-1.14103	0.301888	1.11901	1.63202
0.442469	-0.280214	0.192075	0.573943
0.698577	-0.0216958	2.36445	2.52571
0.0599938	-0.658752	3.06566	3.13912
-0.128948	0.490667	-0.230254	0.573251
0.0689284	0.16812	0.840022	1.01921
0.0456948	0.87843	0.173978	0.906761
0.245198	-0.813822	2.51111	2.65449
-0.290836	-0.0646837	0.990407	1.17039
-0.133417	-0.798987	2.94219	3.05465
-0.297776	0.737163	0.433473	0.915531
0.431212	0.0618298	0.299806	0.761432
-0.559464	0.614476	2.83243	2.9549
0.375877	-0.837087	0.374397	1.00019
0.183608	0.22264	0.468749	0.776617
1.12239	0.379787	1.56211	1.9653
0.237344	-0.0771976	0.268891	0.390912
-1.35972	-0.302605	1.84454	2.37547
0.490705	-1.02245	2.02309	2.32321
-0.0556964	0.178584	-0.166711	0.284615
-0.43502	0.843825	1.81915	2.12385
-0.767027	0.291905	0.139825	0.843392
-0.198943	-0.338789	1.63025	1.68235
0.965943	0.046913	1.90544	2.20592
0.502384	0.6132	0.0646632	0.806724
-0.375163	0.276832	1.1688	1.26558
-0.127209	-0.890071	2.44207	2.65937
-0.984674	-0.277182	2.10555	2.34477
-0.0671175	0.434315	0.0648548	0.464283
1.05177	-0.157118	1.50512	1.92261
0.142894	-0.0383976	-0.401396	0.448587
