      1121.9960      -927.7970      -230.3780       571.6458
      1458.9980       927.7971       230.3780       776.7542
      1106.3540       647.4750        46.2295       885.6870
      1270.4480      -732.7310      -571.4330       855.8004
      1310.5460       732.7307       571.4329       492.5996
       515.1201       482.3659        85.1192       -84.9106
      1065.6600      -155.0590       937.1505       463.8099
      1515.3340       155.0592      -937.1510       884.5902
       803.2888       -27.2677      -760.3890       219.3670
      1253.1050      -386.1740      -852.2030       822.6032
      1327.8890       386.1741       852.2034       525.7966
       169.0877       -83.1244       -44.5983       -38.4070
      1007.8430      -582.2470       730.6240       353.1444
      1573.1510       582.2465      -730.6240       995.2556
      1357.1851       761.9907      -657.9950       900.0816
       692.5004      -267.3200      -571.9700      -250.4610
      1888.4940       267.3196       571.9699      1598.8600
       595.4739      -120.6630       426.5154       374.0285
       609.4174      -135.0110       408.9761      -409.4910
      1971.5770       135.0113      -408.9760      1757.8900
       767.3442      -231.1630      -379.1570       611.0676
       803.1071       769.0410       183.9533       -38.7467
      1777.8870      -769.0410      -183.9530      1387.1460
       846.2927      -420.1680      -449.4870       565.1680
      1268.2280       849.2612      -379.2170       851.5482
      1312.7660      -849.2610       379.2168       496.8518
       960.1282      -852.9170        35.4770       418.2155
      1449.7860      -678.4620       430.7874      1199.0720
      1131.2080       678.4617      -430.7870       149.3273
       860.3552       573.5634      -626.8900        -5.2737
      1334.1930      -550.7560      -708.8040       977.8148
      1246.8010       550.7554       708.8035       370.5852
       733.5416        87.5319       522.3253       489.2656
      1141.0190       432.1335       852.7813       608.0562
      1439.9750      -432.1340      -852.7810       740.3438
      1136.3280      -154.8950      -919.1470       635.7681
      1288.6071       460.9395       797.9562       890.5576
      1292.3860      -460.9400      -797.9560       457.8424
      1108.4110      -342.7750      -870.6220       578.6895
      1492.3790      -662.9850      -359.8520      1280.5980
      1088.6150       662.9851       359.8515        67.8006
       568.9378       495.9142      -108.5890       218.5198
      1184.8690      -865.0980       398.0620       691.9890
      1396.1250       865.0977      -398.0620       656.4108
       642.8729       183.3977      -489.3400       349.2564
      1487.2600      -621.5910      -438.6490      1270.8020
      1093.7340       621.5910       438.6487        77.5978
       513.0645       173.8809       365.5502      -284.8800
       968.6154       844.3126       360.3059       278.0552
      1612.3800      -844.3130      -360.3060      1070.3440
       521.0979       -54.8440      -386.7550       317.3935
      1631.4180       483.7854       129.8571      1546.7380
       949.5761      -483.7860      -129.8570      -198.3380
       381.6679        30.5368      -344.3960       -88.9511
      1297.9420      -912.2930        94.4548       908.4265
      1283.0520       912.2927       -94.4548       439.9733
       536.5850       384.2784       327.1036       122.6371
      1367.9650      -775.0960       406.9638      1042.4590
      1213.0291       775.0957      -406.9640       305.9403
       923.3942       601.7260      -634.9730       263.0111
       856.4802      -143.0510       831.1776        63.4156
      1724.5150       143.0513      -831.1780      1284.9840
       650.4854      -277.1430      -175.6600       545.2058
      1311.2910      -766.1980      -491.8280       933.9780
      1269.7030       766.1984       491.8276       414.4219
       950.7075       714.7224       219.0939       571.6624
      1381.7390       397.7522       768.3726      1068.8240
      1199.2550      -397.7520      -768.3730       279.5755
       724.8975       -44.4655      -710.1310       -31.5690
      1385.4510      -259.9200       822.2407      1075.9270
      1195.5430       259.9202      -822.2410       272.4733
       602.2365      -233.6730      -518.0680       146.5404
       770.1712       423.7737      -620.4850      -101.7900
      1810.8230      -423.7740       620.4849      1450.1890
       544.8015       172.6174        38.0730       497.3384
      1014.0850      -874.0240       336.0715       365.0898
      1566.9100       874.0236      -336.0720       983.3101
       447.1777       -50.1393      -219.7480       361.8670
       765.7385      -560.8420       491.3594      -110.2750
      1815.2550       560.8422      -491.3590      1458.6750
      1390.7350       679.1865      -575.7140      1059.8060
      1314.2061       484.4242      -769.0830       939.5557
      1266.7880      -484.4240       769.0825       408.8440
       266.6337       188.4678       121.6509        50.5724
      1305.2590       877.2501       255.0261       922.4301
      1275.7350      -877.2500      -255.0260       425.9697
       328.5024      -176.3450      -136.3180      -200.0420
       939.4998      -751.4730       500.3033       222.3249
      1641.4940       751.4727      -500.3030      1126.0740
       359.8322        30.9840      -322.0400        81.1935
      1214.3220      -936.5020      -138.8260       748.3656
      1366.6720       936.5020       138.8256       600.0344
       831.8950       410.7146       184.3936       686.3999
      1545.3540      -472.2740       486.7579      1382.0000
      1035.6400       472.2741      -486.7580       -33.6013
       688.4458       512.8601      -339.5710       278.2206
      1357.2500       841.2155      -268.1240      1021.9470
      1223.7440      -841.2160       268.1241       326.4522
       895.4464      -737.7370         2.4641       489.2300
      1078.0260       590.9030      -746.4050       487.4797
      1502.9680      -590.9030       746.4044       860.9202
      1228.2230      -605.1990       484.5906       942.9849
      1423.2371      -682.0220      -473.0170      1148.2540
      1157.7581       682.0219       473.0172       200.1459
       392.6960       124.0923       -29.7386       345.9913
      1308.3700       765.8613       495.1473       928.3881
      1272.6230      -765.8610      -495.1470       420.0119
       193.1705        89.6432        68.4389        79.8633
      1373.1710      -462.6050       738.7734      1052.4210
      1207.8230       462.6054      -738.7740       295.9786
       919.8972       192.3869      -811.6500       363.6018
       623.1123      -470.6410       -40.5891      -383.2780
      1957.8831       470.6406        40.5891      1731.6770
      1143.2980       377.5129       384.6530       999.2211
      1414.9740       173.0850      -819.4870      1132.4390
      1166.0200      -173.0850       819.4871       215.9600
       565.2659      -389.9240       263.2331       282.7999
      1252.6250       -78.4165      -932.4910       821.6853
      1328.3690        78.4165       932.4910       526.7147
       199.3412       134.5404       -56.5309       -14.9386
      1407.9041      -230.9990       811.5833      1118.9060
      1173.0900       230.9992      -811.5830       229.4945
       740.2288       -22.4639      -719.2560      -109.0340
      1019.8590       673.3502       653.4624       376.1440
      1561.1350      -673.3500      -653.4620       972.2559
       396.5072      -330.9460        91.5957       145.2102
      1128.7650      -874.2920      -386.9750       584.6026
      1452.2290       874.2916       386.9753       763.7974
       904.4663       331.3385       314.7208       768.7703
       985.1508       325.7304       866.1912       309.7062
