1.71	0.368319	0.244623
1.72	0.36773	0.253099
1.73	0.366997	0.26152
1.74	0.366001	0.269787
1.75	0.364828	0.277876
1.76	0.363514	0.285816
1.77	0.362041	0.293644
1.78	0.360388	0.301326
1.79	0.358595	0.308838
1.8	0.356683	0.316203
1.81	0.35466	0.323418
1.82	0.352531	0.330495
1.83	0.350315	0.337427
1.84	0.348003	0.344247
1.85	0.345598	0.350917
1.86	0.343119	0.357464
1.87	0.340559	0.363874
1.88	0.337948	0.370148
1.89	0.335279	0.376315
1.9	0.332553	0.382355
1.91	0.329779	0.388289
1.92	0.32695	0.394108
1.93	0.324073	0.399809
1.94	0.321175	0.405391
1.95	0.318227	0.410895
1.96	0.315255	0.416276
1.97	0.312252	0.421565
1.98	0.309217	0.426752
1.99	0.30616	0.431842
2	0.303083	0.436837
2.01	0.299989	0.441744
2.02	0.296878	0.446564
2.03	0.293749	0.451301
2.04	0.290605	0.455954
2.05	0.287446	0.460524
2.06	0.284276	0.465013
2.07	0.281097	0.469424
2.08	0.277909	0.473758
2.09	0.274715	0.478017
2.1	0.271516	0.482204
2.11	0.268313	0.486321
2.12	0.265106	0.490369
2.13	0.261895	0.49435
2.14	0.258682	0.498265
2.15	0.255468	0.502116
2.16	0.252254	0.505904
2.17	0.24904	0.509629
2.18	0.245827	0.513295
2.19	0.242616	0.516902
2.2	0.239408	0.520451
2.21	0.236204	0.523944
2.22	0.233003	0.527383
2.23	0.229806	0.530768
2.24	0.226613	0.5341
2.25	0.223426	0.537382
2.26	0.220244	0.540614
2.27	0.217068	0.543796
2.28	0.213897	0.54693
2.29	0.210733	0.550017
2.3	0.207576	0.553058
2.31	0.204426	0.556053
2.32	0.201283	0.559004
2.33	0.198149	0.561911
2.34	0.195024	0.564775
2.35	0.191907	0.567599
2.36	0.188799	0.570382
2.37	0.185699	0.573126
2.38	0.182609	0.575832
2.39	0.179527	0.578499
2.4	0.176455	0.58113
2.41	0.173392	0.583725
2.42	0.170337	0.586284
